,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.247,https://api.spotify.com/v1/audio-analysis/2bCQHF9gdG5BNDVuEIEnNk,0.853,257760,0.981,2bCQHF9gdG5BNDVuEIEnNk,0.468,8,0.306,-3.947,1,0.0751,118.193,4,https://api.spotify.com/v1/tracks/2bCQHF9gdG5BNDVuEIEnNk,audio_features,spotify:track:2bCQHF9gdG5BNDVuEIEnNk,0.595
1,0.542,https://api.spotify.com/v1/audio-analysis/6mwA6YiKDjAUG8kWvRRUPh,0.649,263667,0.357,6mwA6YiKDjAUG8kWvRRUPh,0.0,11,0.151,-9.09,1,0.0307,129.798,4,https://api.spotify.com/v1/tracks/6mwA6YiKDjAUG8kWvRRUPh,audio_features,spotify:track:6mwA6YiKDjAUG8kWvRRUPh,0.241
2,0.156,https://api.spotify.com/v1/audio-analysis/5gZEhPrN1VLqTG1nIAXeNK,0.59,263800,0.666,5gZEhPrN1VLqTG1nIAXeNK,0.0,4,0.136,-4.047,0,0.0244,104.042,4,https://api.spotify.com/v1/tracks/5gZEhPrN1VLqTG1nIAXeNK,audio_features,spotify:track:5gZEhPrN1VLqTG1nIAXeNK,0.0743
3,0.00681,https://api.spotify.com/v1/audio-analysis/6vc2Jq2vaGu8z326kSrw92,0.826,187133,0.612,6vc2Jq2vaGu8z326kSrw92,0.0,1,0.0889,-3.891,1,0.0982,120.057,4,https://api.spotify.com/v1/tracks/6vc2Jq2vaGu8z326kSrw92,audio_features,spotify:track:6vc2Jq2vaGu8z326kSrw92,0.756
4,0.32,https://api.spotify.com/v1/audio-analysis/6nozDLxeL0TE4MS9GqYU1v,0.61,250360,0.497,6nozDLxeL0TE4MS9GqYU1v,6.11e-05,9,0.0884,-9.88,1,0.0279,85.031,4,https://api.spotify.com/v1/tracks/6nozDLxeL0TE4MS9GqYU1v,audio_features,spotify:track:6nozDLxeL0TE4MS9GqYU1v,0.739
5,0.486,https://api.spotify.com/v1/audio-analysis/7ffwRz8lZyDOE4Vj58Lo72,0.813,227707,0.949,7ffwRz8lZyDOE4Vj58Lo72,9.75e-06,3,0.112,-2.563,0,0.0336,115.061,4,https://api.spotify.com/v1/tracks/7ffwRz8lZyDOE4Vj58Lo72,audio_features,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,0.792
6,0.0308,https://api.spotify.com/v1/audio-analysis/6eFahAdQgABBj1XOM99cBG,0.742,188200,0.784,6eFahAdQgABBj1XOM99cBG,0.0,1,0.354,-5.458,1,0.0552,101.002,4,https://api.spotify.com/v1/tracks/6eFahAdQgABBj1XOM99cBG,audio_features,spotify:track:6eFahAdQgABBj1XOM99cBG,0.65
7,0.0402,https://api.spotify.com/v1/audio-analysis/5PMKzsUsTpZZGsCcJBuhP2,0.854,243733,0.543,5PMKzsUsTpZZGsCcJBuhP2,5.73e-05,8,0.0419,-6.166,0,0.0844,103.032,4,https://api.spotify.com/v1/tracks/5PMKzsUsTpZZGsCcJBuhP2,audio_features,spotify:track:5PMKzsUsTpZZGsCcJBuhP2,0.868
8,0.000479,https://api.spotify.com/v1/audio-analysis/1cjBan0t4eBk2Y5j17hdyf,0.695,218187,0.579,1cjBan0t4eBk2Y5j17hdyf,0.0,0,0.0556,-5.066,1,0.0325,88.957,4,https://api.spotify.com/v1/tracks/1cjBan0t4eBk2Y5j17hdyf,audio_features,spotify:track:1cjBan0t4eBk2Y5j17hdyf,0.726
9,0.00756,https://api.spotify.com/v1/audio-analysis/4dHOnPucB5VBYq3gjRtYy9,0.186,359347,0.679,4dHOnPucB5VBYq3gjRtYy9,0.884,7,0.128,-7.884,0,0.0441,86.867,4,https://api.spotify.com/v1/tracks/4dHOnPucB5VBYq3gjRtYy9,audio_features,spotify:track:4dHOnPucB5VBYq3gjRtYy9,0.227
10,0.0684,https://api.spotify.com/v1/audio-analysis/5bGmuxShUba9maPswDnhCs,0.754,215800,0.819,5bGmuxShUba9maPswDnhCs,0.0,0,0.345,-6.833,1,0.112,142.137,4,https://api.spotify.com/v1/tracks/5bGmuxShUba9maPswDnhCs,audio_features,spotify:track:5bGmuxShUba9maPswDnhCs,0.818
11,0.0486,https://api.spotify.com/v1/audio-analysis/5q4VCiu0mpLX3ObuZ77CYc,0.887,165347,0.633,5q4VCiu0mpLX3ObuZ77CYc,1.16e-05,5,0.109,-4.075,0,0.0896,91.99,4,https://api.spotify.com/v1/tracks/5q4VCiu0mpLX3ObuZ77CYc,audio_features,spotify:track:5q4VCiu0mpLX3ObuZ77CYc,0.892
12,0.259,https://api.spotify.com/v1/audio-analysis/2yAVzRiEQooPEJ9SYx11L3,0.822,283748,0.969,2yAVzRiEQooPEJ9SYx11L3,0.000162,7,0.39,-11.471,0,0.0582,128.007,4,https://api.spotify.com/v1/tracks/2yAVzRiEQooPEJ9SYx11L3,audio_features,spotify:track:2yAVzRiEQooPEJ9SYx11L3,0.765
